NumVertex,NumEdges,Runtime
250, 100, 1.257
250, 200, 1.377
250, 300, 1.6183
250, 400, 1.8828
250, 500, 1.8626
250, 600, 2.5115
250, 700, 2.209
250, 800, 2.0416
250, 900, 2.5721
