NumVertex,NumEdges,Runtime
250, 100, 0.0126
250, 200, 0.0206
250, 300, 0.0378
250, 400, 0.1295
250, 500, 0.0117
250, 600, 0.1316
250, 700, 0.1417
250, 800, 0.194
250, 900, 0.0118
250, 1000, 0.3199
