NumVertex,NumEdges,Runtime
100, 250, 0.0465
200, 250, 0.0176
300, 250, 0.0155
400, 250, 0.0248
500, 250, 0.0207
600, 250, 0.0294
700, 250, 0.0338
800, 250, 0.0354
900, 250, 0.0268
1000, 250, 0.0312
