NumVertex,NumEdges,Runtime
100, 250, 3.5897
200, 250, 11.8949
300, 250, 23.5706
400, 250, 38.7064
500, 250, 58.9844
600, 250, 80.8442
700, 250, 109.268
800, 250, 141.689
900, 250, 177.298
1000, 250, 219.475
